 energy shell parameters
             Nshells                80
              kstart      43.770000000
                kend    1660.000000000
               Npmax                20
 isotropic coordinates
    i    j                 x                 y                 z
    1    1   0.312881273E+01  -0.123055716E+02   0.418879020E+02
    1    2   0.897821146E+01   0.897821146E+01   0.418879020E+02
    1    3  -0.897821146E+01   0.897821146E+01   0.418879020E+02
    1    4  -0.119165124E+02   0.438329718E+01   0.418879020E+02
    1    5  -0.897821146E+01  -0.897821146E+01   0.418879020E+02
    1    6  -0.897821146E+01  -0.897821146E+01   0.418879020E+02
    1    7   0.111041486E+02  -0.615747069E+01  -0.418879020E+02
    1    8   0.897821146E+01  -0.897821146E+01   0.418879020E+02
    1    9   0.119358347E+02  -0.433040545E+01   0.418879020E+02
    1   10   0.897821146E+01   0.897821146E+01   0.418879020E+02
    1   11   0.897821146E+01   0.897821146E+01  -0.418879020E+02
    1   12  -0.111041486E+02   0.615747069E+01   0.418879020E+02
    1   13  -0.897821146E+01   0.897821146E+01  -0.418879020E+02
    1   14  -0.897821146E+01   0.897821146E+01  -0.418879020E+02
    1   15  -0.897821146E+01  -0.897821146E+01  -0.418879020E+02
    1   16  -0.642820284E+01  -0.109496470E+02  -0.418879020E+02
    1   17   0.897821146E+01  -0.897821146E+01  -0.418879020E+02
    1   18   0.119165124E+02  -0.438329718E+01  -0.418879020E+02
    1   19   0.897821146E+01   0.897821146E+01  -0.418879020E+02
    1   20  -0.897821146E+01   0.897821146E+01  -0.418879020E+02
    1   21   0.312881273E+01   0.123055716E+02  -0.418879020E+02
    1   22   0.897821146E+01  -0.897821146E+01  -0.418879020E+02
    1   23  -0.897821146E+01  -0.897821146E+01  -0.418879020E+02
    1   24  -0.119165124E+02  -0.438329718E+01  -0.418879020E+02
    1   25  -0.897821146E+01   0.897821146E+01  -0.418879020E+02
    1   26  -0.897821146E+01   0.897821146E+01  -0.418879020E+02
    1   27   0.111041486E+02   0.615747069E+01   0.418879020E+02
    1   28   0.897821146E+01   0.897821146E+01  -0.418879020E+02
    1   29   0.119358347E+02   0.433040545E+01  -0.418879020E+02
    1   30   0.897821146E+01  -0.897821146E+01  -0.418879020E+02
    1   31   0.897821146E+01  -0.897821146E+01   0.418879020E+02
    1   32  -0.111041486E+02  -0.615747069E+01  -0.418879020E+02
    1   33  -0.897821146E+01  -0.897821146E+01   0.418879020E+02
    1   34  -0.897821146E+01  -0.897821146E+01   0.418879020E+02
    1   35  -0.897821146E+01   0.897821146E+01   0.418879020E+02
    1   36  -0.642820284E+01   0.109496470E+02   0.418879020E+02
    1   37   0.897821146E+01   0.897821146E+01   0.418879020E+02
    1   38   0.119165124E+02   0.438329718E+01   0.418879020E+02
    1   39   0.897821146E+01  -0.897821146E+01   0.418879020E+02
    1   40  -0.897821146E+01  -0.897821146E+01   0.418879020E+02
    2    1   0.452602626E+02  -0.179506637E+02   0.418879020E+02
    2    2   0.137131220E+02  -0.467190323E+02   0.418879020E+02
    2    3   0.344290408E+02  -0.344290408E+02   0.418879020E+02
    2    4   0.437549015E+02   0.213594544E+02   0.418879020E+02
    2    5   0.422935326E+02   0.241241538E+02   0.418879020E+02
    2    6  -0.344290408E+02   0.344290408E+02   0.418879020E+02
    2    7  -0.344290408E+02   0.344290408E+02   0.418879020E+02
    2    8  -0.454194318E+02  -0.175440278E+02   0.418879020E+02
    2    9  -0.437383600E+02  -0.213933064E+02   0.418879020E+02
    2   10  -0.200546955E+01  -0.486486977E+02   0.418879020E+02
    2   11   0.136793470E+02  -0.467289328E+02  -0.418879020E+02
    2   12   0.344290408E+02  -0.344290408E+02  -0.418879020E+02
    2   13   0.454194318E+02   0.175440278E+02  -0.418879020E+02
    2   14   0.157827276E+02   0.460610812E+02  -0.418879020E+02
    2   15   0.200546955E+01   0.486486977E+02  -0.418879020E+02
    2   16  -0.137131220E+02   0.467190323E+02  -0.418879020E+02
    2   17  -0.432189780E+02   0.224240414E+02  -0.418879020E+02
    2   18  -0.437549015E+02  -0.213594544E+02  -0.418879020E+02
    2   19  -0.422935326E+02  -0.241241538E+02  -0.418879020E+02
    2   20  -0.452602626E+02   0.179506637E+02  -0.418879020E+02
    2   21   0.452602626E+02   0.179506637E+02  -0.418879020E+02
    2   22   0.137131220E+02   0.467190323E+02  -0.418879020E+02
    2   23   0.344290408E+02   0.344290408E+02  -0.418879020E+02
    2   24   0.437549015E+02  -0.213594544E+02  -0.418879020E+02
    2   25   0.422935326E+02  -0.241241538E+02  -0.418879020E+02
    2   26  -0.344290408E+02  -0.344290408E+02  -0.418879020E+02
    2   27  -0.344290408E+02  -0.344290408E+02  -0.418879020E+02
    2   28  -0.454194318E+02   0.175440278E+02  -0.418879020E+02
    2   29  -0.437383600E+02   0.213933064E+02  -0.418879020E+02
    2   30  -0.200546955E+01   0.486486977E+02  -0.418879020E+02
    2   31   0.136793470E+02   0.467289328E+02   0.418879020E+02
    2   32   0.344290408E+02   0.344290408E+02   0.418879020E+02
    2   33   0.454194318E+02  -0.175440278E+02   0.418879020E+02
    2   34   0.157827276E+02  -0.460610812E+02   0.418879020E+02
    2   35   0.200546955E+01  -0.486486977E+02   0.418879020E+02
    2   36  -0.137131220E+02  -0.467190323E+02   0.418879020E+02
    2   37  -0.432189780E+02  -0.224240414E+02   0.418879020E+02
    2   38  -0.437549015E+02   0.213594544E+02   0.418879020E+02
    2   39  -0.422935326E+02   0.241241538E+02   0.418879020E+02
    2   40  -0.452602626E+02  -0.179506637E+02   0.418879020E+02
    3    1  -0.520448272E+02  -0.520448272E+02  -0.418879020E+02
    3    2  -0.677476382E+02  -0.287677874E+02   0.418879020E+02
    3    3  -0.531741826E+02   0.508904155E+02   0.418879020E+02
    3    4  -0.548230634E+02   0.491096711E+02   0.418879020E+02
    3    5  -0.603654543E+02   0.421110437E+02  -0.418879020E+02
    3    6  -0.449110646E+02   0.583123002E+02  -0.418879020E+02
    3    7  -0.882129759E+01   0.870194080E+01  -0.837758041E+02
    3    8  -0.371521290E+02  -0.635377635E+02  -0.418879020E+02
    3    9  -0.100167072E+01  -0.735956842E+02  -0.418879020E+02
