          I                 re(RITZ)                 im(RITZ)                 ln|RITZ|                arg(RITZ)
           1   1.0059358199665687       0.30989277060505305       0.12812849890167347       0.74709646412453756     
           2   1.0059358199665687      -0.30989277060505305       0.12812849890167347      -0.74709646412453756     
           3  0.94484368747794856       0.30556814236688806       -1.7495006673311331E-002  0.78197382372833679     
           4  0.94484368747794856      -0.30556814236688806       -1.7495006673311331E-002 -0.78197382372833679     
           5  0.89718656806504948       0.32548518798755688      -0.11667417889029967       0.87004558073544325     
           6  0.89718656806504948      -0.32548518798755688      -0.11667417889029967      -0.87004558073544325     
           7  0.92058453197464318       0.25798816052052342      -0.11235969888504049       0.68308704469889236     
           8  0.92058453197464318      -0.25798816052052342      -0.11235969888504049      -0.68308704469889236     
           9  0.97733619114711212        0.0000000000000000       -5.7311451386886397E-002   0.0000000000000000     
          10  0.91980101535498315       0.18919744667817343      -0.15719557462121025       0.50716102232902438     
          11  0.91980101535498315      -0.18919744667817343      -0.15719557462121025      -0.50716102232902438     
