          I                 re(RITZ)                 im(RITZ)                 ln|RITZ|                arg(RITZ)
           1   1.0059359117991851       0.30989274364477049       0.12812868849427184       0.74709633871487313     
           2   1.0059359117991851      -0.30989274364477049       0.12812868849427184      -0.74709633871487313     
           3  0.94484429999728370       0.30556793865110321       -1.7493697259625626E-002  0.78197286123670606     
           4  0.94484429999728370      -0.30556793865110321       -1.7493697259625626E-002 -0.78197286123670606     
           5  0.89718807660672839       0.32548610031311515      -0.11666964925281223       0.87004647963570658     
           6  0.89718807660672839      -0.32548610031311515      -0.11666964925281223      -0.87004647963570658     
           7  0.92058592149407281       0.25798779169394798      -0.11235646044697423       0.68308513553886019     
           8  0.92058592149407281      -0.25798779169394798      -0.11235646044697423      -0.68308513553886019     
           9  0.97733637735137724        0.0000000000000000       -5.7310975081370785E-002   0.0000000000000000     
          10  0.91979766227187532       0.18919801043080295      -0.15720401591481170       0.50716429092797022     
          11  0.91979766227187532      -0.18919801043080295      -0.15720401591481170      -0.50716429092797022     
