          I                 re(RITZ)                 im(RITZ)                 ln|RITZ|                arg(RITZ)
           1   1.0059359582932950       0.30989249544288455       0.12812862047203669       0.74709574282689917     
           2   1.0059359582932950      -0.30989249544288455       0.12812862047203669      -0.74709574282689917     
           3  0.94484350177943854       0.30556741743046112       -1.7496013094629857E-002  0.78197223107199876     
           4  0.94484350177943854      -0.30556741743046112       -1.7496013094629857E-002 -0.78197223107199876     
           5  0.89718586097616615       0.32548488776061912      -0.11667618822981338       0.87004547311297298     
           6  0.89718586097616615      -0.32548488776061912      -0.11667618822981338      -0.87004547311297298     
           7  0.92058459045956842       0.25798891883940261      -0.11235901653106402       0.68308891281374517     
           8  0.92058459045956842      -0.25798891883940261      -0.11235901653106402      -0.68308891281374517     
           9  0.97733645399663382        0.0000000000000000       -5.7310779024886654E-002   0.0000000000000000     
          10  0.91980086283585927       0.18919759680086920      -0.15719589181516691       0.50716149560430757     
          11  0.91980086283585927      -0.18919759680086920      -0.15719589181516691      -0.50716149560430757     
